Model,Features,Accuracy,F1-Score,Inference_p50_ms,Inference_p95_ms,Inference_p99_ms,Model_Size_MB
SVM,PSD,0.8293497815471601,0.8276935190572077,8.80985150001834,9.095660800153382,9.15462401997047,53.825613021850586
VGG16,Spectrogram,0.7964533538936006,0.7966181172425942,1.5276679999942644,1.5740933999950357,1.6382122299523871,56.81288433074951
ResNet50,Spectrogram,0.7314315086096119,0.7207721243615791,6.614107500013233,7.123238000076526,7.913055790158978,92.66299152374268
RFUAVNet,Raw IQ,0.5119506553585197,0.5040877399747493,1.441451000005145,1.4743987501333322,1.487901239943313,0.056549072265625
